,3.75,201,Herd Immunity Achieved, about 11.3441% the Shanghai population died
,3.8,197,Herd Immunity Achieved, about 11.4726% the Shanghai population died
,3.85,194,Herd Immunity Achieved, about 11.596% the Shanghai population died
,3.9,191,Herd Immunity Achieved, about 11.7146% the Shanghai population died
,3.95,188,Herd Immunity Achieved, about 11.8285% the Shanghai population died
,4.0,185,Herd Immunity Achieved, about 11.938% the Shanghai population died
,4.05,183,Herd Immunity Achieved, about 12.0432% the Shanghai population died
,4.1,180,Herd Immunity Achieved, about 12.1444% the Shanghai population died
,4.15,177,Herd Immunity Achieved, about 12.2418% the Shanghai population died
,4.2,175,Herd Immunity Achieved, about 12.3355% the Shanghai population died
,4.25,173,Herd Immunity Achieved, about 12.4257% the Shanghai population died
,4.3,171,Herd Immunity Achieved, about 12.5125% the Shanghai population died
,4.35,169,Herd Immunity Achieved, about 12.5961% the Shanghai population died
,4.4,167,Herd Immunity Achieved, about 12.6766% the Shanghai population died
,4.45,165,Herd Immunity Achieved, about 12.7541% the Shanghai population died
,4.5,163,Herd Immunity Achieved, about 12.8288% the Shanghai population died
,4.55,161,Herd Immunity Achieved, about 12.9009% the Shanghai population died
,4.6,159,Herd Immunity Achieved, about 12.9703% the Shanghai population died
,4.65,158,Herd Immunity Achieved, about 13.0372% the Shanghai population died
,4.7,156,Herd Immunity Achieved, about 13.1018% the Shanghai population died
,4.75,154,Herd Immunity Achieved, about 13.164% the Shanghai population died
,4.8,153,Herd Immunity Achieved, about 13.2241% the Shanghai population died
,4.85,152,Herd Immunity Achieved, about 13.2821% the Shanghai population died
,4.9,150,Herd Immunity Achieved, about 13.338% the Shanghai population died
,4.95,149,Herd Immunity Achieved, about 13.392% the Shanghai population died
,5.0,148,Herd Immunity Achieved, about 13.4441% the Shanghai population died
,5.05,146,Herd Immunity Achieved, about 13.4945% the Shanghai population died
,5.1,145,Herd Immunity Achieved, about 13.5431% the Shanghai population died
,5.15,144,Herd Immunity Achieved, about 13.59% the Shanghai population died
,5.2,143,Herd Immunity Achieved, about 13.6354% the Shanghai population died
,5.25,142,Herd Immunity Achieved, about 13.6792% the Shanghai population died
,5.3,141,Herd Immunity Achieved, about 13.7216% the Shanghai population died
,5.35,140,Herd Immunity Achieved, about 13.7625% the Shanghai population died
,5.4,139,Herd Immunity Achieved, about 13.802% the Shanghai population died
,5.45,138,Herd Immunity Achieved, about 13.8402% the Shanghai population died
,5.5,137,Herd Immunity Achieved, about 13.8772% the Shanghai population died
,5.55,136,Herd Immunity Achieved, about 13.913% the Shanghai population died
,5.6,135,Herd Immunity Achieved, about 13.9475% the Shanghai population died
,5.65,134,Herd Immunity Achieved, about 13.9809% the Shanghai population died
,5.7,133,Herd Immunity Achieved, about 14.0133% the Shanghai population died
,5.75,132,Herd Immunity Achieved, about 14.0445% the Shanghai population died
,5.8,132,Herd Immunity Achieved, about 14.0748% the Shanghai population died
,5.85,131,Herd Immunity Achieved, about 14.1041% the Shanghai population died
,5.9,130,Herd Immunity Achieved, about 14.1324% the Shanghai population died
,5.95,129,Herd Immunity Achieved, about 14.1598% the Shanghai population died
,6.0,129,Herd Immunity Achieved, about 14.1863% the Shanghai population died
,6.05,128,Herd Immunity Achieved, about 14.212% the Shanghai population died
,6.1,127,Herd Immunity Achieved, about 14.2368% the Shanghai population died
,6.15,126,Herd Immunity Achieved, about 14.2608% the Shanghai population died
,6.2,126,Herd Immunity Achieved, about 14.2841% the Shanghai population died
,6.25,125,Herd Immunity Achieved, about 14.3067% the Shanghai population died
,6.3,125,Herd Immunity Achieved, about 14.3285% the Shanghai population died
,6.35,124,Herd Immunity Achieved, about 14.3496% the Shanghai population died
,6.4,123,Herd Immunity Achieved, about 14.3701% the Shanghai population died
,6.45,123,Herd Immunity Achieved, about 14.3899% the Shanghai population died
,6.5,122,Herd Immunity Achieved, about 14.4091% the Shanghai population died
,6.55,122,Herd Immunity Achieved, about 14.4277% the Shanghai population died
,6.6,121,Herd Immunity Achieved, about 14.4457% the Shanghai population died
,6.65,121,Herd Immunity Achieved, about 14.4632% the Shanghai population died
,6.7,120,Herd Immunity Achieved, about 14.48% the Shanghai population died
,6.75,120,Herd Immunity Achieved, about 14.4964% the Shanghai population died
,6.8,119,Herd Immunity Achieved, about 14.5123% the Shanghai population died
,6.85,119,Herd Immunity Achieved, about 14.5276% the Shanghai population died
,6.9,118,Herd Immunity Achieved, about 14.5425% the Shanghai population died
,6.95,118,Herd Immunity Achieved, about 14.5569% the Shanghai population died
,7.0,117,Herd Immunity Achieved, about 14.5709% the Shanghai population died
,7.05,117,Herd Immunity Achieved, about 14.5844% the Shanghai population died
,7.1,117,Herd Immunity Achieved, about 14.5975% the Shanghai population died
,7.15,116,Herd Immunity Achieved, about 14.6102% the Shanghai population died
,7.2,116,Herd Immunity Achieved, about 14.6225% the Shanghai population died
,7.25,115,Herd Immunity Achieved, about 14.6345% the Shanghai population died
,7.3,115,Herd Immunity Achieved, about 14.646% the Shanghai population died
,7.35,115,Herd Immunity Achieved, about 14.6572% the Shanghai population died
,7.4,114,Herd Immunity Achieved, about 14.6681% the Shanghai population died
,7.45,114,Herd Immunity Achieved, about 14.6786% the Shanghai population died
,7.5,114,Herd Immunity Achieved, about 14.6888% the Shanghai population died
,7.55,113,Herd Immunity Achieved, about 14.6987% the Shanghai population died
,7.6,113,Herd Immunity Achieved, about 14.7083% the Shanghai population died
,7.65,113,Herd Immunity Achieved, about 14.7176% the Shanghai population died
,7.7,112,Herd Immunity Achieved, about 14.7266% the Shanghai population died
,7.75,112,Herd Immunity Achieved, about 14.7353% the Shanghai population died
,7.8,112,Herd Immunity Achieved, about 14.7437% the Shanghai population died
,7.85,111,Herd Immunity Achieved, about 14.7519% the Shanghai population died
,7.9,111,Herd Immunity Achieved, about 14.7599% the Shanghai population died
,7.95,111,Herd Immunity Achieved, about 14.7676% the Shanghai population died
,8.0,110,Herd Immunity Achieved, about 14.775% the Shanghai population died
