0.0,48
0.1,49
0.2,50
0.3,52
0.4,53
0.5,54
0.6,56
0.7,58
0.8,59
0.9,61
1.0,63
1.1,65
1.2,67
1.3,69
1.4,71
1.5,74
1.6,77
1.7,79
1.8,82
1.9,86
2.0,89
2.1,93
2.2,97
2.3,102
2.4,107
2.5,112
2.6,118
2.7,125
2.8,132
2.9,140
3.0,150
3.1,160
3.2,172
3.3,186
3.4,202
3.5,220
3.6,242
3.7,269
3.8,302
3.9,342
4.0,391
4.1,452
4.2,527
4.3,613
4.4,699
4.5,764
4.6,787
4.7,770
4.8,729
4.9,680
5.0,631
5.1,586
5.2,546
5.3,511
5.4,479
5.5,452
5.6,428
5.7,407
5.8,388
5.9,371
6.0,355
6.1,341
6.2,329
6.3,317
6.4,306
6.5,297
6.6,288
6.7,279
6.8,272
6.9,265
7.0,258
7.1,252
7.2,246
7.3,240
7.4,235
7.5,230
7.6,225
7.7,221
7.8,217
7.9,213
8.0,209
8.1,206
8.2,202
8.3,199
8.4,196
8.5,193
8.6,190
8.7,188
8.8,185
8.9,183
9.0,180
9.1,178
9.2,176
9.3,174
9.4,172
9.5,170
9.6,168
9.7,166
9.8,164
9.9,163
10.0,161
10.1,160
10.2,158
10.3,157
10.4,155
10.5,154
10.6,152
10.7,151
10.8,150
10.9,149
11.0,148
11.1,146
11.2,145
11.3,144
11.4,143
11.5,142
11.6,141
11.7,140
11.8,139
11.9,138
12.0,138
12.1,137
12.2,136
12.3,135
12.4,134
12.5,133
12.6,133
12.7,132
12.8,131
12.9,131
13.0,130
13.1,129
13.2,129
13.3,128
13.4,127
13.5,127
13.6,126
13.7,126
13.8,125
13.9,124
14.0,124
14.1,123
14.2,123
14.3,122
14.4,122
14.5,121
14.6,121
14.7,120
14.8,120
14.9,120
15.0,119
15.1,119
15.2,118
15.3,118
15.4,117
15.5,117
15.6,117
15.7,116
15.8,116
15.9,116
16.0,115
16.1,115
16.2,115
16.3,114
16.4,114
16.5,114
16.6,113
16.7,113
16.8,113
16.9,112
17.0,112
17.1,112
17.2,112
17.3,111
17.4,111
17.5,111
17.6,110
17.7,110
17.8,110
17.9,110
18.0,109
18.1,109
18.2,109
18.3,109
18.4,109
18.5,108
18.6,108
18.7,108
18.8,108
18.9,108
19.0,107
19.1,107
19.2,107
19.3,107
19.4,107
19.5,106
19.6,106
19.7,106
19.8,106
19.9,106
20.0,106
20.1,105
20.2,105
20.3,105
20.4,105
20.5,105
20.6,105
20.7,104
20.8,104
20.9,104
21.0,104
21.1,104
21.2,104
21.3,104
21.4,103
21.5,103
21.6,103
21.7,103
21.8,103
21.9,103
22.0,103
22.1,103
22.2,103
22.3,102
22.4,102
22.5,102
22.6,102
22.7,102
22.8,102
22.9,102
23.0,102
23.1,102
23.2,101
23.3,101
23.4,101
23.5,101
23.6,101
23.7,101
23.8,101
23.9,101
24.0,101
24.1,101
24.2,101
24.3,100
24.4,100
24.5,100
24.6,100
24.7,100
24.8,100
24.9,100
25.0,100
